Venue Category,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude
Accessories Store,5,5,5,5,5,5
Adult Boutique,1,1,1,1,1,1
Afghan Restaurant,3,3,3,3,3,3
African Restaurant,2,2,2,2,2,2
American Restaurant,24,24,24,24,24,24
Amphitheater,1,1,1,1,1,1
Animal Shelter,1,1,1,1,1,1
Antique Shop,2,2,2,2,2,2
Arepa Restaurant,1,1,1,1,1,1
Argentinian Restaurant,2,2,2,2,2,2
Art Gallery,22,22,22,22,22,22
Art Museum,4,4,4,4,4,4
Arts & Crafts Store,11,11,11,11,11,11
Arts & Entertainment,1,1,1,1,1,1
Asian Restaurant,26,26,26,26,26,26
Athletics & Sports,5,5,5,5,5,5
Auto Dealership,3,3,3,3,3,3
Auto Garage,1,1,1,1,1,1
Automotive Shop,1,1,1,1,1,1
BBQ Joint,15,15,15,15,15,15
Bagel Shop,7,7,7,7,7,7
Bakery,86,86,86,86,86,86
Bank,29,29,29,29,29,29
Bar,71,71,71,71,71,71
Baseball Field,10,10,10,10,10,10
Basketball Court,2,2,2,2,2,2
Beach,3,3,3,3,3,3
Beer Bar,8,8,8,8,8,8
Beer Store,16,16,16,16,16,16
Belgian Restaurant,1,1,1,1,1,1
Big Box Store,2,2,2,2,2,2
Bike Rental / Bike Share,1,1,1,1,1,1
Bike Shop,2,2,2,2,2,2
Bistro,5,5,5,5,5,5
Bookstore,19,19,19,19,19,19
Boutique,7,7,7,7,7,7
Bowling Alley,1,1,1,1,1,1
Brazilian Restaurant,4,4,4,4,4,4
Breakfast Spot,47,47,47,47,47,47
Brewery,7,7,7,7,7,7
Bubble Tea Shop,32,32,32,32,32,32
Building,1,1,1,1,1,1
Burger Joint,32,32,32,32,32,32
Burrito Place,12,12,12,12,12,12
Bus Line,16,16,16,16,16,16
Bus Station,1,1,1,1,1,1
Bus Stop,4,4,4,4,4,4
Business Service,1,1,1,1,1,1
Butcher,5,5,5,5,5,5
Café,114,114,114,114,114,114
Candy Store,1,1,1,1,1,1
Cantonese Restaurant,7,7,7,7,7,7
Caribbean Restaurant,17,17,17,17,17,17
Castle,1,1,1,1,1,1
Check Cashing Service,1,1,1,1,1,1
Cheese Shop,3,3,3,3,3,3
Chinese Restaurant,54,54,54,54,54,54
Chiropractor,2,2,2,2,2,2
Chocolate Shop,3,3,3,3,3,3
Churrascaria,2,2,2,2,2,2
Clothing Store,32,32,32,32,32,32
Cocktail Bar,6,6,6,6,6,6
Coffee Shop,214,214,214,214,214,214
College Arts Building,1,1,1,1,1,1
College Gym,1,1,1,1,1,1
College Theater,1,1,1,1,1,1
Colombian Restaurant,1,1,1,1,1,1
Comedy Club,1,1,1,1,1,1
Comfort Food Restaurant,4,4,4,4,4,4
Comic Shop,1,1,1,1,1,1
Concert Hall,9,9,9,9,9,9
Construction & Landscaping,5,5,5,5,5,5
Convenience Store,35,35,35,35,35,35
Cosmetics Shop,17,17,17,17,17,17
Creperie,4,4,4,4,4,4
Cuban Restaurant,2,2,2,2,2,2
Cupcake Shop,2,2,2,2,2,2
Dance Studio,13,13,13,13,13,13
