Neighbourhood,Neighbourhood Id,Total Population,Healthy Food Index,Lat,Long
West Humber,1.0,33312.0,23.82,43.724320500000005,-79.5124460630301
Clairville,1.0,33312.0,23.82,1.0,0.0
Mount Olive,2.0,32954.0,37.57,43.653963,-79.38720699999999
Silverstone,2.0,32954.0,37.57,43.7460065,-79.600236
Jamestown,2.0,32954.0,37.57,43.653963,-79.38720699999999
Thistletown,3.0,10360.0,42.26,43.7372656,-79.56531690000001
Beaumond Heights,3.0,10360.0,42.26,1.0,0.0
Rexdale,4.0,10529.0,23.31,43.7213619,-79.5655129
Kipling,4.0,10529.0,23.31,43.63759279999999,-79.5354943
Elms,5.0,9456.0,24.71,43.696997499999995,-79.52188340000001
Old Rexdale,5.0,9456.0,24.71,43.7213619,-79.5655129
Kingsview Village,6.0,22000.0,35.69,43.6995391,-79.5563459
The Westway,6.0,22000.0,35.69,43.6961285,-79.5325629
Willowridge,7.0,22156.0,30.46,43.6755594,-79.5698955132183
Martingrove,7.0,22156.0,30.46,43.67395435,-79.5604801330229
Richview,7.0,22156.0,30.46,43.6886113,-79.54283120000001
Humber Heights,8.0,10948.0,32.82,43.6981789,-79.52327729999999
Westmount,8.0,10948.0,32.82,43.6936399,-79.5210426
Edenbridge,9.0,15535.0,46.41,43.68233845,-79.5108036747073
Humber Valley,9.0,15535.0,46.41,43.6664717,-79.5243136
Princess,10.0,11051.0,39.52,43.64705945,-79.38924809999999
Rosethorn,10.0,11051.0,39.52,43.65847205,-79.5390975716216
Eringate,11.0,18588.0,10.43,43.6622732,-79.5765162
Centennial,11.0,18588.0,10.43,43.7874914,-79.1507681
West Deane,11.0,18588.0,10.43,43.6631995,-79.5685684
Markland Wood,12.0,10554.0,7.99,43.63123795,-79.5854368166265
Etobicoke West Mall,13.0,11848.0,15.41,43.64355605,-79.56532889151049
Islington,14.0,43965.0,31.01,43.6453376,-79.52486999999999
City Centre West,14.0,43965.0,31.01,1.0,0.0
Kingsway South,15.0,9271.0,43.15,43.6473811,-79.51133279999999
Stonegate,16.0,25051.0,31.23,43.637167299999994,-79.4817054
Queensway,16.0,25051.0,31.23,43.6236182,-79.5147637
Mimico,17.0,33964.0,21.59,43.603656,-79.4931782
New Toronto,18.0,11463.0,24.84,43.6007625,-79.505264
Long Branch,19.0,10084.0,28.08,43.5930751,-79.541212
Alderwood,20.0,12054.0,11.41,43.6017173,-79.5452325
Humber Summit,21.0,12416.0,32.33,43.7600778,-79.5717598
Humbermede,22.0,15545.0,20.52,1.0,0.0
Pelmo Park,23.0,10722.0,21.71,43.71219489999999,-79.5175109823888
Humberlea,23.0,10722.0,21.71,43.7213166,-79.5331605
Black Creek,24.0,21737.0,41.84,43.6954005,-79.485495
Glenfield,25.0,30491.0,41.05,43.653963,-79.38720699999999
Jane Heights,25.0,30491.0,41.05,43.7572532,-79.5176975
Downsview,26.0,35052.0,23.72,43.7492988,-79.462248
Roding,26.0,35052.0,23.72,43.7306021,-79.49271929999999
CFB,26.0,35052.0,23.72,1.0,0.0
York University Heights,27.0,27593.0,47.0,43.7587808,-79.51943359999999
Rustic,28.0,9941.0,16.55,43.7160087,-79.487065
Maple Leaf,29.0,10111.0,14.42,43.712276700000004,-79.49019770000001
Brookhaven,30.0,17757.0,43.1,43.7007782,-79.4945217
Amesbury,30.0,17757.0,43.1,43.7061619,-79.4834918540464
Yorkdale,31.0,14804.0,21.66,43.72464179999999,-79.44750309999999
Glen Park,31.0,14804.0,21.66,43.7090016,-79.4437983
Englemount,32.0,22372.0,43.98,43.70983579999999,-79.43527900000001
Lawrence,32.0,22372.0,43.98,43.7263483,-79.40247430000001
Clanton Park,33.0,16472.0,19.35,43.7457757,-79.4405557
Bathurst Manor,34.0,15873.0,18.8,43.76389295,-79.4563669371095
Westminster,35.0,26274.0,24.63,43.78336229999999,-79.4558358
Branson,35.0,26274.0,24.63,43.771426,-79.4472871160505
Newtonbrook West,36.0,23831.0,26.14,43.7938863,-79.4256790230105
Willowdale West,37.0,16936.0,17.67,43.77535579999999,-79.4166859823926
Lansing,38.0,16164.0,19.11,43.758950299999995,-79.4225555
Westgate,38.0,16164.0,19.11,43.656394399999996,-79.38259685604059
Bedford Park,39.0,23236.0,47.74,43.7373876,-79.4109253
Nortown,39.0,23236.0,47.74,43.7472833,-79.3851659
St.Andrew,40.0,17812.0,18.23,43.6477917,-79.38487109999998
Windfields,40.0,17812.0,18.23,43.7422502,-79.37153459999999
Bridle Path,41.0,9266.0,22.26,43.7353996,-79.37088299999999
Sunnybrook,41.0,9266.0,22.26,43.665040999999995,-79.38243936150359
York Mills,41.0,9266.0,22.26,43.7461836,-79.4204541
Banbury,42.0,27695.0,21.31,43.7427961,-79.36995664072579
Don Mills,42.0,27695.0,21.31,43.737178,-79.3434514
Victoria Village,43.0,17510.0,26.9,43.732658,-79.3111892
Flemingdon Park,44.0,21933.0,21.66,43.7184315,-79.33320400000001
Parkwoods,45.0,34805.0,33.6,43.7612239,-79.32398570000001
Donalda,45.0,34805.0,33.6,43.788591100000005,-79.2825115
Pleasant View,46.0,15818.0,22.56,43.787048,-79.3337137
Don Valley Village,47.0,27051.0,37.87,43.7926732,-79.3547219
Hillcrest Village,48.0,16934.0,48.46,43.7996637,-79.3650189
