"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Healthy Food Index"
"West Humber-Clairville",1.0,"N/A",33312.0,23.82
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32954.0,37.57
"Thistletown-Beaumond Heights",3.0,"N/A",10360.0,42.26
"Rexdale-Kipling",4.0,"N/A",10529.0,23.31
"Elms-Old Rexdale",5.0,"N/A",9456.0,24.71
"Kingsview Village-The Westway",6.0,"N/A",22000.0,35.69
"Willowridge-Martingrove-Richview",7.0,"N/A",22156.0,30.46
"Humber Heights-Westmount",8.0,"N/A",10948.0,32.82
"Edenbridge-Humber Valley",9.0,"N/A",15535.0,46.41
"Princess-Rosethorn",10.0,"N/A",11051.0,39.52
"Eringate-Centennial-West Deane",11.0,"N/A",18588.0,10.43
"Markland Wood",12.0,"N/A",10554.0,7.99
"Etobicoke West Mall",13.0,"N/A",11848.0,15.41
"Islington-City Centre West",14.0,"N/A",43965.0,31.01
"Kingsway South",15.0,"N/A",9271.0,43.15
"Stonegate-Queensway",16.0,"N/A",25051.0,31.23
"Mimico",17.0,"N/A",33964.0,21.59
"New Toronto",18.0,"N/A",11463.0,24.84
"Long Branch",19.0,"N/A",10084.0,28.08
"Alderwood",20.0,"N/A",12054.0,11.41
"Humber Summit",21.0,"N/A",12416.0,32.33
"Humbermede",22.0,"N/A",15545.0,20.52
"Pelmo Park-Humberlea",23.0,"N/A",10722.0,21.71
"Black Creek",24.0,"N/A",21737.0,41.84
"Glenfield-Jane Heights",25.0,"N/A",30491.0,41.05
"Downsview-Roding-CFB",26.0,"N/A",35052.0,23.72
"York University Heights",27.0,"N/A",27593.0,47.0
"Rustic",28.0,"N/A",9941.0,16.55
"Maple Leaf",29.0,"N/A",10111.0,14.42
"Brookhaven-Amesbury",30.0,"N/A",17757.0,43.1
"Yorkdale-Glen Park",31.0,"N/A",14804.0,21.66
"Englemount-Lawrence",32.0,"N/A",22372.0,43.98
"Clanton Park",33.0,"N/A",16472.0,19.35
"Bathurst Manor",34.0,"N/A",15873.0,18.8
"Westminster-Branson",35.0,"N/A",26274.0,24.63
"Newtonbrook West",36.0,"N/A",23831.0,26.14
"Willowdale West",37.0,"N/A",16936.0,17.67
"Lansing-Westgate",38.0,"N/A",16164.0,19.11
"Bedford Park-Nortown",39.0,"N/A",23236.0,47.74
"St.Andrew-Windfields",40.0,"N/A",17812.0,18.23
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",9266.0,22.26
"Banbury-Don Mills",42.0,"N/A",27695.0,21.31
"Victoria Village",43.0,"N/A",17510.0,26.9
"Flemingdon Park",44.0,"N/A",21933.0,21.66
"Parkwoods-Donalda",45.0,"N/A",34805.0,33.6
"Pleasant View",46.0,"N/A",15818.0,22.56
"Don Valley Village",47.0,"N/A",27051.0,37.87
"Hillcrest Village",48.0,"N/A",16934.0,48.46
"Bayview Woods-Steeles",49.0,"N/A",13154.0,35.61
"Newtonbrook East",50.0,"N/A",16097.0,29.12
"Willowdale East",51.0,"N/A",50434.0,28.9
"Bayview Village",52.0,"N/A",21396.0,32.12
"Henry Farm",53.0,"N/A",15723.0,20.8
"O'Connor-Parkview",54.0,"N/A",18675.0,37.63
"Thorncliffe Park",55.0,"N/A",21108.0,34.53
"Leaside-Bennington",56.0,"N/A",16828.0,40.94
"Broadview North",57.0,"N/A",11499.0,31.36
"Old East York",58.0,"N/A",9233.0,24.76
"Danforth-East York",59.0,"N/A",17180.0,24.56
"Woodbine-Lumsden",60.0,"N/A",7865.0,27.87
"Taylor-Massey",61.0,"N/A",15683.0,38.19
"East End-Danforth",62.0,"N/A",21381.0,35.29
"The Beaches",63.0,"N/A",21567.0,31.53
"Woodbine Corridor",64.0,"N/A",12541.0,29.04
"Greenwood-Coxwell",65.0,"N/A",14417.0,44.29
"Danforth",66.0,"N/A",9666.0,32.16
"Playter Estates-Danforth",67.0,"N/A",7804.0,42.51
"North Riverdale",68.0,"N/A",11916.0,47.17
"Blake-Jones",69.0,"N/A",7727.0,39.98
"South Riverdale",70.0,"N/A",27876.0,45.86
"Cabbagetown-South St.James Town",71.0,"N/A",11669.0,43.71
"Regent Park",72.0,"N/A",10803.0,42.52
"Moss Park",73.0,"N/A",20506.0,42.76
"North St.James Town",74.0,"N/A",18615.0,34.03
"Church-Yonge Corridor",75.0,"N/A",31340.0,33.5
"Bay Street Corridor",76.0,"N/A",25797.0,24.83
"Waterfront Communities-The Island",77.0,"N/A",65913.0,31.61
